ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
1458704_at	0.4765476	1.36E-01	-1.650426	-5.360444	-0.2171239	
1429625_at	0.4765988	1.36E-01	-1.650252	-5.36068	-0.2497346	2900054C01Rik
1435122_x_at	0.4765988	1.36E-01	-1.650179	-5.360781	-0.16122	Dnmt1
1444643_at	0.4765988	1.36E-01	1.650153	-5.360816	0.1676175	Ckm
1438805_at	0.4765988	1.36E-01	-1.650151	-5.360819	-0.4029142	Ccnd3
1423738_at	0.4767993	1.36E-01	-1.649789	-5.361312	-0.2413486	Oxa1l
1450640_x_at	0.4767993	1.36E-01	-1.649772	-5.361335	-0.1484305	Atp5k
1436995_a_at	0.4769379	1.36E-01	-1.64953	-5.361665	-0.1302514	Gm15772///Rpl26
1436518_at	0.4769486	1.36E-01	-1.649433	-5.361796	-0.1556463	Usp46
1449432_a_at	0.4769486	1.36E-01	1.649413	-5.361824	0.2008873	Mmel1
1420743_a_at	0.4770087	1.36E-01	1.649279	-5.362006	0.1498001	Ppp3cc
1427988_s_at	0.4770495	1.36E-01	-1.649145	-5.362188	-0.151504	Safb2
1442442_at	0.4770495	1.36E-01	-1.64912	-5.362222	-0.2640403	
1452521_a_at	0.4771303	1.37E-01	-1.648958	-5.362443	-0.1792951	Plaur
1454113_at	0.4771559	1.37E-01	1.648871	-5.362561	0.1501091	4930512B01Rik
1430071_at	0.4771564	1.37E-01	-1.64882	-5.362631	-0.1517839	Mpc2
1424932_at	0.4771586	1.37E-01	-1.648766	-5.362705	-0.2154696	Egfr
1426379_at	0.4773031	1.37E-01	1.648507	-5.363056	0.1905891	Eif4b
1436759_x_at	0.4773031	1.37E-01	-1.648464	-5.363115	-0.2130629	Cnn3
1422632_at	0.4774861	1.37E-01	1.648101	-5.36361	0.1341928	Ctsw
1445088_at	0.4774861	1.37E-01	1.648096	-5.363616	0.1646062	
1455879_at	0.4774861	1.37E-01	1.64802	-5.36372	0.2519309	Gm13123///Gcn1l1
1437450_x_at	0.4774861	1.37E-01	-1.647858	-5.36394	-0.1480662	2700060E02Rik
1443021_at	0.4774861	1.37E-01	-1.647816	-5.363998	-0.169961	Mthfs
1444620_at	0.4774861	1.37E-01	-1.647815	-5.363998	-0.2953922	
1456204_at	0.4774861	1.37E-01	1.647733	-5.36411	0.1517429	Smim4
1430070_at	0.4774861	1.37E-01	1.647608	-5.36428	0.2567712	1500035N22Rik
1455517_at	0.4774861	1.37E-01	1.647583	-5.364315	0.2612463	Gm21992///Rbm14///Rbm4
1456498_at	0.4774861	1.37E-01	-1.647487	-5.364445	-0.2367839	Itga4
1448503_at	0.4774861	1.37E-01	1.647452	-5.364492	0.1364888	Mcl1
1446088_at	0.4774861	1.37E-01	1.647368	-5.364607	0.233649	9430081I23Rik
1460358_s_at	0.4774861	1.37E-01	1.647354	-5.364626	0.1421058	Nudt22
1431659_at	0.4774861	1.37E-01	1.647276	-5.364732	0.2010491	Tmem86b
1429809_at	0.4774861	1.37E-01	-1.647191	-5.364847	-0.2622588	Tmtc2
1458559_at	0.4774861	1.37E-01	1.647168	-5.364879	0.1631096	A730028G07Rik
1454943_a_at	0.4774861	1.37E-01	1.64714	-5.364917	0.1767083	Paxip1
1449518_at	0.4774861	1.37E-01	-1.647129	-5.364932	-0.2044553	Qpctl
1442118_at	0.4774861	1.37E-01	1.64712	-5.364944	0.1633002	
1450580_at	0.4774861	1.37E-01	1.647105	-5.364964	0.2109814	Gpr45
1417891_at	0.4774861	1.37E-01	-1.647103	-5.364967	-0.1761577	Spsb3
1418027_at	0.4774861	1.37E-01	1.647083	-5.364994	0.2365236	Exo1
1440770_at	0.4774861	1.37E-01	-1.647039	-5.365054	-0.5937908	Bcl2
1448852_at	0.477522	1.37E-01	1.646939	-5.365191	0.2838885	Rgn
1420746_at	0.477531	1.37E-01	1.646864	-5.365292	0.1574029	Prl3a1
1419838_s_at	0.477531	1.37E-01	1.646766	-5.365425	0.2204492	Plk4
1441701_at	0.477531	1.37E-01	-1.646749	-5.365449	-0.3509998	
1424283_at	0.477531	1.37E-01	1.646723	-5.365484	0.1610694	Jtb
1429400_at	0.4777296	1.37E-01	-1.646359	-5.365979	-0.1854968	Clcn5
1435980_x_at	0.4777296	1.37E-01	-1.646343	-5.366001	-0.2166308	Wnt6
1426283_at	0.4777296	1.37E-01	-1.64622	-5.366169	-0.1579467	Ntm
1460250_at	0.4777296	1.37E-01	1.646197	-5.3662	0.1662915	Sostdc1
1445318_at	0.4777296	1.37E-01	1.646194	-5.366203	0.2623488	Klhl4
1424115_at	0.4778961	1.37E-01	-1.645897	-5.366608	-0.136965	Ppp5c
1419133_at	0.4778961	1.37E-01	1.645863	-5.366654	0.1932429	Evpl
1438740_at	0.4779354	1.37E-01	1.645758	-5.366797	0.1879452	Nmt2
1423838_s_at	0.4781053	1.37E-01	1.645473	-5.367184	0.1419787	Ist1
1449860_at	0.4781366	1.37E-01	-1.645379	-5.367312	-0.2132499	Higd1b
1421855_at	0.4781385	1.37E-01	-1.645326	-5.367385	-0.5539707	Fgl2
1456992_at	0.4781624	1.37E-01	-1.645242	-5.367499	-0.1889593	Ube3c
1421461_at	0.4782012	1.37E-01	1.645137	-5.367641	0.360769	Mpl
1432768_at	0.4782401	1.37E-01	1.645017	-5.367804	0.1957692	6430710M23Rik
1416310_at	0.4782401	1.37E-01	1.644982	-5.367852	0.1793742	Nusap1
1421686_at	0.4783512	1.37E-01	1.644759	-5.368156	0.1577768	Npvf
1449527_at	0.4783512	1.37E-01	-1.644727	-5.368198	-0.1862951	Pcdhb7
1448933_at	0.4783532	1.37E-01	-1.644674	-5.368271	-0.327196	Pcdhb17
1427168_a_at	0.4784082	1.37E-01	-1.644506	-5.368499	-0.4662967	Col14a1
1453553_at	0.4784082	1.37E-01	1.644391	-5.368655	0.1795904	LOC102643054
1422055_at	0.4784082	1.37E-01	1.644379	-5.368672	0.1907909	Mid1
1425599_a_at	0.4784082	1.37E-01	1.644287	-5.368797	0.1625295	Gatad1
1450743_s_at	0.4784082	1.37E-01	1.644215	-5.368895	0.247878	Syncrip
1458596_at	0.4784082	1.37E-01	1.6442	-5.368915	0.1650052	Dctn4
1454831_at	0.4784082	1.37E-01	-1.644193	-5.368924	-0.1900522	Foxn2
1421985_a_at	0.4784082	1.37E-01	-1.644191	-5.368927	-0.1542757	Eif4e2
1428255_at	0.4784914	1.38E-01	1.643998	-5.36919	0.1398881	Luc7l
1415711_at	0.4784914	1.38E-01	-1.64388	-5.369351	-0.1433807	Arfgef1
1452594_at	0.4784914	1.38E-01	1.643879	-5.369351	0.1929836	Dusp11
1430062_at	0.4784914	1.38E-01	1.643873	-5.369359	0.220327	Hhipl1
1449477_s_at	0.4785193	1.38E-01	-1.643742	-5.369538	-0.2341292	Slc2a10
1458742_at	0.4785193	1.38E-01	1.643733	-5.369549	0.1944061	Adgrl3
1458121_at	0.4785645	1.38E-01	1.643584	-5.369753	0.288466	
1456891_at	0.4785645	1.38E-01	-1.643569	-5.369772	-0.2117846	Dennd2c
1423591_at	0.4785854	1.38E-01	-1.64349	-5.36988	-0.1480987	Fgfr1op2
1420092_at	0.4786291	1.38E-01	-1.643379	-5.370032	-0.2041345	Morc3
1419834_x_at	0.4786291	1.38E-01	-1.643264	-5.370187	-0.1845157	Mark1
1440695_at	0.4786291	1.38E-01	-1.643201	-5.370273	-0.2348676	Zfp40
1447888_x_at	0.4786291	1.38E-01	-1.64319	-5.370288	-0.1881976	Msh2
1430422_at	0.4786291	1.38E-01	1.643176	-5.370307	0.1593949	1700020A23Rik
1449205_at	0.478648	1.38E-01	1.643068	-5.370454	0.1540096	Ovol2
1440785_at	0.478648	1.38E-01	1.643048	-5.370481	0.1899396	Rxfp1
1422390_at	0.4786639	1.38E-01	-1.642973	-5.370583	-0.1705028	Vmn1r13
1443986_at	0.4786639	1.38E-01	1.642915	-5.370662	0.1872728	Cdc73
1458526_at	0.4786639	1.38E-01	-1.642815	-5.370797	-0.1752228	
1424996_at	0.4786639	1.38E-01	-1.642792	-5.370829	-0.1545207	Cflar
1420505_a_at	0.4786639	1.38E-01	-1.642723	-5.370923	-0.1686134	Stxbp1
1416109_at	0.4786639	1.38E-01	1.642722	-5.370924	0.1739486	Fuca1
1429218_at	0.4787405	1.38E-01	-1.642566	-5.371136	-0.1448898	Det1
1420031_at	0.4788232	1.38E-01	1.642354	-5.371424	0.1449022	Chek1
1452583_s_at	0.4788232	1.38E-01	1.64235	-5.371429	0.2625565	Galm
1426565_at	0.4788318	1.38E-01	-1.642269	-5.37154	-0.2356517	Igf1r
1422725_at	0.4788318	1.38E-01	1.642237	-5.371583	0.1700196	Mak
1415709_s_at	0.4788532	1.38E-01	-1.642157	-5.371692	-0.1808773	Gbf1
1445477_at	0.4788765	1.38E-01	-1.642074	-5.371804	-0.1948739	
1458531_at	0.478921	1.38E-01	1.641962	-5.371956	0.1757531	D6Ertd588e
1458836_at	0.4789533	1.38E-01	-1.641867	-5.372086	-0.1490403	Calb1
1445489_at	0.4790538	1.38E-01	1.641678	-5.372342	0.1804194	Ttpal
1419514_at	0.4790694	1.38E-01	-1.641606	-5.37244	-0.1950914	Pitx1
1426105_a_at	0.4790853	1.38E-01	1.641533	-5.372539	0.2525673	Ubxn11
1426528_at	0.4791387	1.38E-01	-1.641409	-5.372708	-0.2174989	Nrp2
1432050_at	0.4792445	1.38E-01	1.641167	-5.373036	0.1469123	4930571B16Rik
1417002_at	0.4792445	1.38E-01	-1.641162	-5.373043	-0.1397777	0610012G03Rik
1452092_at	0.4792887	1.38E-01	-1.64105	-5.373195	-0.2368993	Chst15
1446751_s_at	0.4793155	1.38E-01	1.640913	-5.373382	0.156537	Impact
1423446_at	0.4793155	1.38E-01	1.640912	-5.373382	0.2719151	Dapk3
1418128_at	0.4793691	1.38E-01	-1.640788	-5.373551	-0.148804	Adcy6
1459835_s_at	0.4793843	1.38E-01	-1.640716	-5.373648	-0.2282044	Dnaja1
1416673_at	0.4794211	1.38E-01	-1.640603	-5.373803	-0.1727586	Bace2
1452275_at	0.4794211	1.38E-01	-1.640564	-5.373855	-0.1658807	Zfand3
1422261_a_at	0.4794312	1.38E-01	-1.6405	-5.373942	-0.2604294	Msh3
1424116_x_at	0.4794732	1.38E-01	-1.640373	-5.374114	-0.1613399	Ppp5c
1448813_at	0.4794732	1.38E-01	1.640294	-5.374222	0.2173232	Aadac
1457880_at	0.4794732	1.38E-01	1.64029	-5.374227	0.1818697	
1436000_a_at	0.4795225	1.38E-01	-1.640172	-5.374388	-0.1508973	Skp2
1440536_at	0.4795581	1.38E-01	1.64003	-5.37458	0.185679	
1449039_a_at	0.4795581	1.38E-01	-1.640015	-5.374601	-0.1364679	Hnrnpdl
1429151_at	0.4795581	1.38E-01	-1.639971	-5.374661	-0.1396242	Dcaf7
1442858_at	0.4796386	1.38E-01	-1.639809	-5.37488	-0.1936879	Mycbp2
1436085_at	0.4796578	1.38E-01	-1.639708	-5.375017	-0.256358	Zbtb34
1452704_at	0.4796578	1.38E-01	-1.639636	-5.375115	-0.1797156	Rmdn3
1439277_at	0.4796578	1.38E-01	1.639588	-5.375181	0.1577511	Frs3os
1434617_x_at	0.4796578	1.38E-01	-1.639554	-5.375227	-0.1945794	Slc38a10
1456749_at	0.4796578	1.38E-01	-1.63953	-5.375259	-0.2162935	
1421366_at	0.4797911	1.39E-01	1.639296	-5.375577	0.1824665	Clec5a
1444487_at	0.4798712	1.39E-01	1.639135	-5.375795	0.1553806	Lrat
1415781_a_at	0.4798933	1.39E-01	-1.639009	-5.375966	-0.130509	LOC101056240///Sumo2
1439178_at	0.4798933	1.39E-01	-1.638994	-5.375986	-0.1493973	Adrbk2
1427233_at	0.4798933	1.39E-01	-1.638953	-5.376042	-0.1810706	Tshz1
1453019_at	0.4799117	1.39E-01	1.638779	-5.376279	0.134553	Nvl
1430235_at	0.4799117	1.39E-01	1.638734	-5.37634	0.1966246	4933424G06Rik
1447522_s_at	0.4799117	1.39E-01	-1.638711	-5.376371	-0.1633227	Tnks2
1435494_s_at	0.4799117	1.39E-01	1.638624	-5.376489	1.5908706	Dsp
1438437_a_at	0.4799117	1.39E-01	-1.638617	-5.376498	-0.1701677	4933439C10Rik
1446158_at	0.4799117	1.39E-01	-1.63854	-5.376603	-0.245519	
1426833_at	0.4799117	1.39E-01	1.638533	-5.376612	0.1487822	Eif4g3
1458493_a_at	0.4799117	1.39E-01	-1.638523	-5.376626	-0.1589795	2410089E03Rik
1440413_at	0.4799496	1.39E-01	1.63842	-5.376765	0.1957104	Vwc2l
1459944_at	0.4799815	1.39E-01	1.638249	-5.376998	0.1873577	Utp11l
1416604_at	0.4799815	1.39E-01	1.63822	-5.377036	0.1391562	Cyc1
1445271_at	0.4799815	1.39E-01	-1.638219	-5.377038	-0.2774447	Trim12c
1456797_at	0.4799815	1.39E-01	1.638174	-5.377099	0.2745997	Cltb
1452976_a_at	0.4800484	1.39E-01	1.637955	-5.377397	0.1706101	Slc9a3r2
1449318_at	0.4800484	1.39E-01	1.637902	-5.377468	0.1630268	Tubg2
1446899_at	0.4800484	1.39E-01	-1.637852	-5.377536	-0.1660735	
1429545_at	0.4800484	1.39E-01	-1.637848	-5.377541	-0.151169	Ube2i
1428600_at	0.4800484	1.39E-01	-1.637816	-5.377585	-0.191491	Nin
1439818_at	0.4800484	1.39E-01	1.637779	-5.377635	0.2358277	Prmt9
1454442_at	0.4800917	1.39E-01	1.637669	-5.377785	0.177953	Bnip2
1422465_a_at	0.4805308	1.39E-01	1.637015	-5.378671	0.1632913	Nxn
1450834_at	0.4805331	1.39E-01	-1.636962	-5.378744	-0.1961023	Fut4
1452679_at	0.4806497	1.39E-01	1.636716	-5.379077	0.2622441	Tubb2b
1424020_at	0.4806497	1.39E-01	-1.636638	-5.379182	-0.2691483	Arl6ip6
1430977_at	0.4806497	1.39E-01	-1.636617	-5.379212	-0.1417781	Fam159b
1449986_at	0.4806497	1.39E-01	-1.6366	-5.379235	-0.1501795	2310034C09Rik
1444408_at	0.4806497	1.39E-01	1.636549	-5.379304	0.2268587	B130040O20Rik
1429753_at	0.4806672	1.39E-01	1.636423	-5.379474	0.207762	Nxph4
1421949_a_at	0.4806672	1.39E-01	1.636402	-5.379503	0.1635904	Cep89
1437081_at	0.4806672	1.39E-01	-1.636374	-5.379542	-0.2325804	Timp2
1422363_at	0.4807004	1.39E-01	1.636268	-5.379685	0.2104199	Olfr65
1458003_at	0.4807004	1.39E-01	-1.636227	-5.37974	-0.1665129	Zfp398
1434694_at	0.4807722	1.39E-01	-1.636078	-5.379943	-0.154812	Lrrc8a
1436880_at	0.4808944	1.39E-01	-1.635809	-5.380307	-0.2321305	Afp
1423836_at	0.4808944	1.39E-01	-1.635772	-5.380358	-0.2161514	Zfp503
1436092_at	0.4808944	1.39E-01	-1.635731	-5.380412	-0.2118375	
1459312_at	0.4808944	1.39E-01	1.635708	-5.380444	0.1568529	
1437361_at	0.4809868	1.39E-01	1.635531	-5.380684	0.1986962	Gm11545
1440284_at	0.4809934	1.39E-01	-1.635471	-5.380765	-0.3106533	
1446711_at	0.4810382	1.39E-01	-1.63536	-5.380916	-0.2698073	
1449211_at	0.4810562	1.39E-01	-1.635165	-5.381181	-0.3551494	Bpnt1
1452625_at	0.4810562	1.39E-01	-1.635054	-5.381331	-0.151613	Kctd2
1440931_at	0.4810562	1.39E-01	-1.635008	-5.381394	-0.2126173	Scrt2
1444706_at	0.4810562	1.39E-01	1.634955	-5.381465	0.2283081	Nav2
1422408_at	0.4810562	1.39E-01	1.634954	-5.381466	0.2102888	Ifna4
1451393_at	0.4810562	1.39E-01	1.634942	-5.381482	0.1520098	Pex26
1452752_at	0.4810562	1.39E-01	-1.634884	-5.381561	-0.2339573	P3h1
1442298_at	0.4810562	1.39E-01	1.634882	-5.381564	0.2171865	
1429473_at	0.4810562	1.39E-01	1.634881	-5.381566	0.1893783	Zfp869
1448750_at	0.481059	1.39E-01	-1.634826	-5.381639	-0.2274965	Hand1
1422740_at	0.4810674	1.39E-01	-1.634729	-5.381771	-0.1597263	Tnfrsf21
1451922_at	0.4810674	1.39E-01	-1.634675	-5.381844	-0.2756242	Lman1l
1442191_at	0.4810674	1.40E-01	-1.634575	-5.38198	-0.1720891	Sugct
1452727_at	0.4810674	1.40E-01	-1.634568	-5.38199	-0.1494017	R3hdm2
1448702_at	0.4810674	1.40E-01	-1.634563	-5.381997	-0.1327067	Ier3ip1
1443822_s_at	0.48112	1.40E-01	-1.634344	-5.382293	-0.1876822	Cisd1
1446021_at	0.48112	1.40E-01	1.634315	-5.382333	0.2265755	AU018466
1425545_x_at	0.48112	1.40E-01	1.634231	-5.382446	0.3262687	H2-L///H2-D1
1446383_at	0.48112	1.40E-01	1.634208	-5.382478	0.2015595	
1419334_at	0.48112	1.40E-01	-1.634201	-5.382487	-0.1361168	Ctla4
1448322_a_at	0.48112	1.40E-01	-1.634188	-5.382504	-0.132262	Cox4i1
1421117_at	0.4811294	1.40E-01	1.634125	-5.38259	0.6256208	Dst
1445144_at	0.4811452	1.40E-01	-1.634053	-5.382688	-0.1842318	
1452101_at	0.4811595	1.40E-01	-1.633983	-5.382783	-0.1424278	Blmh
1454490_at	0.4811974	1.40E-01	-1.63388	-5.382921	-0.1395504	4930423C22Rik
1418805_at	0.4811984	1.40E-01	1.633789	-5.383046	0.1544184	Sct
1422611_s_at	0.4811984	1.40E-01	1.633778	-5.38306	0.1744245	Igf2bp3
1420753_at	0.4812396	1.40E-01	-1.633671	-5.383205	-0.1773594	Tll1
1422385_at	0.4812696	1.40E-01	-1.633536	-5.383388	-0.1334602	Olfr1264
1452818_at	0.4812696	1.40E-01	-1.633529	-5.383397	-0.2650444	Ttf2
1422772_at	0.4812878	1.40E-01	1.633421	-5.383544	0.151943	C1galt1
1431236_at	0.4812878	1.40E-01	1.633404	-5.383567	0.1486724	Stk32b
1431667_s_at	0.481302	1.40E-01	1.63329	-5.383721	0.1601124	Efcab11
1419075_s_at	0.481302	1.40E-01	-1.633243	-5.383786	-0.1965547	Saa1
1456306_a_at	0.481302	1.40E-01	1.633233	-5.383798	0.1434117	Umod
1458045_at	0.48131	1.40E-01	-1.633128	-5.38394	-0.1479145	
1448496_a_at	0.48131	1.40E-01	-1.633121	-5.38395	-0.1463754	Ing1
1420390_s_at	0.4815328	1.40E-01	-1.632749	-5.384454	-0.1970441	Zfp354a
1451363_a_at	0.4815328	1.40E-01	-1.632689	-5.384535	-0.323212	Dennd2d
1427113_s_at	0.4815328	1.40E-01	-1.632622	-5.384627	-0.159887	Ttl
1418186_at	0.4815328	1.40E-01	1.632615	-5.384636	0.1726939	Gstt1
1448633_at	0.481694	1.40E-01	1.632257	-5.38512	0.1542395	Prpf31
1457798_at	0.481694	1.40E-01	1.632229	-5.385158	0.2538477	Elmsan1
1437536_at	0.481694	1.40E-01	1.632205	-5.385191	0.6033905	Fkrp
1418501_a_at	0.481694	1.40E-01	1.632192	-5.385208	0.1306306	Oxr1
1443256_at	0.4817109	1.40E-01	1.632074	-5.385368	0.2048883	Gm16233
1416449_x_at	0.4817109	1.40E-01	1.632069	-5.385376	0.2156453	Stxbp2
1444000_at	0.4817407	1.40E-01	1.631912	-5.385588	0.1568047	B930059L03Rik
1418167_at	0.4817407	1.40E-01	-1.631895	-5.385611	-0.1980041	Tfap4
1422977_at	0.4817407	1.40E-01	-1.631877	-5.385636	-0.197709	Gp1bb
1443126_at	0.4818421	1.40E-01	1.63166	-5.385929	0.2342653	
1455959_s_at	0.4818421	1.40E-01	1.631637	-5.38596	0.1701331	Gclc
1422210_at	0.4818665	1.40E-01	1.631554	-5.386073	0.1401579	Foxd3
1423910_at	0.4819882	1.40E-01	-1.631337	-5.386367	-0.1350765	Agap3
1447156_at	0.4820299	1.40E-01	-1.631183	-5.386575	-0.2522624	
1430321_at	0.4820299	1.40E-01	1.631179	-5.386581	0.2977867	Krba1
1416812_at	0.4820517	1.40E-01	-1.631098	-5.38669	-0.1564366	Tia1
1448133_at	0.4820517	1.40E-01	1.631049	-5.386757	0.1599897	Nmd3
1419810_x_at	0.4820702	1.40E-01	-1.630973	-5.386859	-0.2005533	Arhgap9
1456297_at	0.4820966	1.40E-01	1.630836	-5.387045	0.1654478	Slc46a2
1450773_at	0.4820966	1.40E-01	1.630831	-5.387052	0.203627	Kcnd2
1420908_at	0.4820966	1.40E-01	1.630786	-5.387113	0.3457403	Cd2ap
1452652_at	0.4821283	1.40E-01	-1.63066	-5.387283	-0.310825	Tmem158
1458512_at	0.4821283	1.40E-01	-1.6306	-5.387365	-0.2242579	Tle3
1453578_at	0.4821283	1.40E-01	-1.630565	-5.387411	-0.2104359	Pter
1427131_s_at	0.4821283	1.40E-01	1.630541	-5.387444	0.1676608	Lrrc58
1423458_at	0.4821651	1.40E-01	1.630441	-5.38758	0.2756221	Slc35a5
1456501_at	0.4822026	1.40E-01	1.630327	-5.387734	0.1863086	Cmss1
1421381_a_at	0.4822026	1.40E-01	-1.630246	-5.387843	-0.160428	Col9a1
1440165_at	0.4822026	1.40E-01	-1.630239	-5.387854	-0.5589955	Ptprc
1455143_at	0.4822398	1.40E-01	-1.630118	-5.388017	-0.2473787	Nlgn2
1454014_a_at	0.4822398	1.40E-01	-1.630087	-5.388058	-0.1711448	Mkks
1424691_at	0.4822753	1.40E-01	-1.629952	-5.388241	-0.141816	Cacfd1
1442059_at	0.4822753	1.41E-01	-1.629906	-5.388303	-0.1599923	Fxr1
1426802_at	0.4822753	1.41E-01	-1.629888	-5.388328	-0.1922801	Sept8
1430376_at	0.4822963	1.41E-01	1.629781	-5.388473	0.15876	Lrrc9
1431225_at	0.4822963	1.41E-01	1.629725	-5.388548	0.2676342	Sox11
1441956_s_at	0.4822963	1.41E-01	1.629607	-5.388709	0.1629734	Cux1
1429632_at	0.4822963	1.41E-01	1.629587	-5.388735	0.1455887	Trappc4
1443115_at	0.4822963	1.41E-01	-1.629579	-5.388746	-0.2948828	
1438115_a_at	0.4822963	1.41E-01	-1.629558	-5.388775	-0.2650077	Slc9a3r1
1451703_s_at	0.4823647	1.41E-01	-1.62936	-5.389043	-0.1292459	Aprt
1432370_at	0.4823647	1.41E-01	-1.629325	-5.38909	-0.1624139	4933411E02Rik
1437462_x_at	0.4823647	1.41E-01	-1.629314	-5.389105	-0.2817472	Mmp15
1429276_at	0.4825485	1.41E-01	1.628826	-5.389765	0.1458612	Trank1
1421701_at	0.4825485	1.41E-01	1.628789	-5.389815	0.2343663	Vmn2r10
1445992_at	0.4825485	1.41E-01	1.628763	-5.38985	0.1442964	
1436953_at	0.4825485	1.41E-01	-1.628692	-5.389946	-0.2881541	Wipf1
1455282_x_at	0.4825485	1.41E-01	-1.628685	-5.389956	-0.1432785	Alas1
1433364_at	0.4825485	1.41E-01	1.628641	-5.390016	0.1903037	A930036I15Rik
1451636_at	0.4825485	1.41E-01	1.62858	-5.390098	0.1727676	Ankrd33
1427800_at	0.4825485	1.41E-01	1.628542	-5.39015	0.2226654	Krtap19-1
1445235_at	0.4825485	1.41E-01	1.628516	-5.390184	0.2828318	
1428081_at	0.4825485	1.41E-01	-1.628505	-5.390199	-0.1662901	Klhl21
1435852_at	0.4825485	1.41E-01	1.628499	-5.390208	0.1410835	Spred3
1420809_a_at	0.4825485	1.41E-01	-1.62846	-5.39026	-0.1481626	Gm20056///Chp1
1439094_at	0.482686	1.41E-01	-1.628222	-5.390583	-0.1532482	Cltc
1423286_at	0.4827643	1.41E-01	-1.628064	-5.390795	-0.149708	Cbln1
1440146_at	0.4827898	1.41E-01	1.627979	-5.39091	0.1964704	Vps13a
1418694_at	0.4828716	1.41E-01	-1.627769	-5.391195	-0.1430121	Kcmf1
AFFX-DapX-5_at	0.4828716	1.41E-01	1.627767	-5.391197	0.1736383	
1421704_a_at	0.4828823	1.41E-01	1.627702	-5.391285	0.1405	Pik3c2g
1460603_at	0.4831472	1.41E-01	-1.627205	-5.391957	-0.4028488	Samd9l
1434196_at	0.4831472	1.41E-01	1.627142	-5.392043	0.1826038	Dnaja4
1427945_at	0.4831472	1.41E-01	1.627085	-5.39212	0.2058504	Dpyd
1425475_at	0.4831472	1.41E-01	1.627052	-5.392165	0.182785	Col4a5
1419783_at	0.4831472	1.41E-01	-1.626997	-5.39224	-0.1698734	
1437890_at	0.4831472	1.41E-01	-1.626956	-5.392295	-0.1444851	Btbd17
1417558_at	0.4831472	1.41E-01	-1.626926	-5.392336	-0.1761694	Fyn
1441292_at	0.4831472	1.41E-01	-1.626802	-5.392503	-0.1437501	
1419470_at	0.4831472	1.41E-01	-1.626787	-5.392524	-0.2837222	Gnb4
1442765_at	0.4831472	1.41E-01	1.626729	-5.392602	0.1632633	
1456214_at	0.4831472	1.41E-01	1.626652	-5.392706	0.2737368	Pcdh7
1457145_at	0.4831472	1.41E-01	1.626652	-5.392706	0.2559128	Plekhg4
1416255_at	0.4831472	1.41E-01	-1.626646	-5.392714	-0.2143929	Gja4
1451063_at	0.4831472	1.41E-01	1.62659	-5.392789	0.1878424	Stxbp4
1446713_at	0.4831472	1.41E-01	-1.62654	-5.392857	-0.2755305	
1448994_at	0.4831472	1.41E-01	-1.626538	-5.392859	-0.1678366	Sp1
1453369_a_at	0.4831918	1.41E-01	1.626421	-5.393018	0.1515169	Fundc1
1456130_at	0.4831918	1.41E-01	1.626377	-5.393077	0.2339725	Thsd7a
1416565_at	0.4832046	1.41E-01	-1.62631	-5.393168	-0.1308858	Cox6b1
1448488_at	0.4833213	1.41E-01	1.626096	-5.393457	0.130925	Mrps5
1452984_at	0.4833213	1.41E-01	1.62605	-5.393519	0.1962734	Ccny
1457505_at	0.4833239	1.41E-01	1.625996	-5.393592	0.1815185	
1458967_at	0.4833352	1.41E-01	-1.625931	-5.39368	-0.157173	
1450187_a_at	0.483374	1.41E-01	1.625795	-5.393865	0.1578976	Galt
1457900_at	0.483374	1.41E-01	1.625747	-5.393929	0.2184904	Ascc3
1444928_at	0.483374	1.41E-01	1.625728	-5.393955	0.2352778	
1447171_at	0.4833993	1.41E-01	-1.625643	-5.394069	-0.1548007	
1444903_at	0.4836441	1.42E-01	-1.625212	-5.394652	-0.147822	
1426371_at	0.4836441	1.42E-01	1.625172	-5.394707	0.3521246	Far1
1447481_at	0.4836441	1.42E-01	-1.625159	-5.394724	-0.2008938	
1419044_at	0.4836512	1.42E-01	1.625099	-5.394805	0.2144237	Cntnap4
1440794_x_at	0.4836902	1.42E-01	-1.624962	-5.394991	-0.1534915	1700029M03Rik
1431994_at	0.4836902	1.42E-01	1.624915	-5.395053	0.1604989	4930432B10Rik
1431859_at	0.4836902	1.42E-01	1.624896	-5.39508	0.1711493	4930414F18Rik
1439136_at	0.4837267	1.42E-01	-1.624755	-5.395269	-0.2631194	
1450121_at	0.4837267	1.42E-01	1.624662	-5.395396	0.1936234	Scn1a
1422920_at	0.4837267	1.42E-01	1.624653	-5.395407	0.1855614	Cldn13
1428489_at	0.4837267	1.42E-01	-1.624646	-5.395418	-0.1539072	Zcrb1
1451784_x_at	0.4838196	1.42E-01	1.624469	-5.395657	0.3373746	H2-D1
1437053_x_at	0.4838557	1.42E-01	-1.624353	-5.395813	-0.145948	Api5
1429912_at	0.4838557	1.42E-01	-1.624319	-5.395858	-0.1996904	Sun5
1435492_at	0.4839003	1.42E-01	1.624182	-5.396044	0.1907526	Socs6
1423350_at	0.4839003	1.42E-01	-1.624158	-5.396076	-0.1673512	Socs5
1452734_at	0.4839508	1.42E-01	1.62404	-5.396236	0.1365445	Rnaset2a///Rnaset2b
1418605_at	0.484185	1.42E-01	1.62365	-5.396762	0.1472886	Nr2c1
1436356_at	0.484185	1.42E-01	-1.62362	-5.396803	-0.1477679	Samd4
